"","id1","id2","cust.id","forename","surname","gender","email","m.nmbr","h.nmbr","addr.1","addr.2","cityname","postcode","county","nis","b.year","b.month","b.day","is_match"
"2797",632,2107,0,0,1,0,NA,0,NA,0,0,NA,NA,NA,0,0,0,0,NA
"752",144,645,0,0,1,0,0,NA,NA,0,0,0,0,NA,0,0,0,1,NA
"5015",1400,2105,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0,1,0,NA
"1117",227,1642,0,0,1,0,0,NA,NA,NA,0,0,0,NA,0,0,1,1,NA
"4718",1265,1822,0,0,1,0,0,NA,NA,0,0,NA,NA,0,0,1,0,0,NA
"5271",1527,1552,0,0,1,0,0,NA,0,0,0,NA,0,0,0,1,0,1,NA
"5665",1802,1803,0,0,1,0,NA,NA,NA,NA,0,NA,NA,0,0,1,1,0,NA
"2596",582,2009,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,1,1,1,1,NA
"5234",1507,1641,0,0,1,0,0,0,NA,0,0,0,0,1,0,0,0,0,NA
"5524",1685,2081,0,0,1,0,NA,NA,NA,NA,1,1,1,1,1,0,0,0,NA
"4107",1042,2183,0,0,1,0,NA,0,0,1,0,0,0,0,0,0,0,0,NA
"5855",2018,2036,0,0,1,0,NA,0,0,1,1,NA,NA,1,0,0,1,0,NA
"5849",2004,2047,0,0,1,0,NA,0,0,1,1,NA,NA,1,0,1,0,0,NA
"2668",601,2256,0,0,1,0,NA,NA,NA,1,1,NA,1,NA,1,0,0,0,NA
"5371",1583,2204,0,0,1,0,NA,NA,NA,1,1,1,NA,NA,1,0,0,0,NA
"4885",1341,2129,0,0,1,0,NA,NA,NA,1,1,1,1,1,1,0,0,0,NA
"5537",1697,2008,0,0,1,0,NA,NA,1,0,0,NA,NA,0,1,1,1,1,NA
"3979",993,2214,0,0,1,0,NA,NA,1,1,1,1,1,1,1,0,0,0,NA
"5269",1526,2030,0,0,1,0,NA,1,NA,0,0,NA,NA,0,1,1,1,1,NA
"4787",1294,2280,0,0,1,0,NA,1,NA,NA,1,NA,NA,1,1,0,0,0,NA
"5175",1478,2231,0,0,1,0,NA,1,NA,NA,1,1,NA,NA,1,0,0,0,NA
"1344",279,2221,0,0,1,0,NA,1,NA,NA,1,1,NA,1,1,0,0,0,NA
"4377",1139,2083,0,0,1,0,NA,1,NA,NA,1,1,NA,1,1,1,0,0,NA
"5071",1428,2124,0,0,1,0,NA,1,NA,NA,1,1,1,NA,1,0,0,0,NA
"883",174,2094,0,0,1,0,NA,1,NA,NA,1,1,1,1,1,0,0,0,NA
"2796",632,2091,0,0,1,0,NA,1,NA,1,1,NA,NA,1,1,1,0,0,NA
"3159",726,2122,0,0,1,0,NA,1,NA,1,1,NA,1,1,1,0,0,0,NA
"5816",1967,2230,0,0,1,0,NA,1,NA,1,1,1,NA,1,1,0,0,0,NA
"2023",443,2086,0,0,1,0,NA,1,NA,1,1,1,1,NA,1,0,0,0,NA
"1153",234,2253,0,0,1,0,NA,1,NA,1,1,1,1,1,1,0,0,0,NA
"4875",1336,2099,0,0,1,0,NA,1,NA,1,1,1,1,1,1,0,1,0,NA
"5837",1983,2058,0,0,1,0,NA,1,1,0,0,NA,NA,0,1,1,1,1,NA
"2730",616,2251,0,0,1,0,NA,1,1,NA,1,NA,1,NA,1,0,0,0,NA
"4241",1086,2168,0,0,1,0,NA,1,1,NA,1,NA,1,1,1,0,0,0,NA
"4046",1015,2252,0,0,1,0,NA,1,1,NA,1,1,NA,1,1,0,0,0,NA
"3680",897,2215,0,0,1,0,NA,1,1,NA,1,1,NA,1,1,0,1,0,NA
"2053",451,2001,0,0,1,0,NA,1,1,1,1,NA,NA,1,1,1,1,1,NA
"1702",358,2101,0,0,1,0,NA,1,1,1,1,NA,1,NA,1,0,0,0,NA
"3045",699,2139,0,0,1,0,NA,1,1,1,1,NA,1,NA,1,1,0,0,NA
"5404",1602,2165,0,0,1,0,NA,1,1,1,1,NA,1,1,1,0,0,0,NA
"5547",1703,2106,0,0,1,0,NA,1,1,1,1,NA,1,1,1,0,0,1,NA
"5075",1430,2118,0,0,1,0,NA,1,1,1,1,1,NA,NA,1,0,0,0,NA
"5905",2080,2247,0,0,1,0,NA,1,1,1,1,1,NA,1,1,0,0,0,NA
"5296",1540,2100,0,0,1,0,NA,1,1,1,1,1,1,1,1,0,0,0,NA
"5668",1809,2224,0,0,1,0,NA,1,1,1,1,1,1,1,1,0,0,1,NA
"166",26,2092,0,0,1,0,NA,1,1,1,1,1,1,1,1,0,1,0,NA
"1523",318,2045,0,0,1,0,1,NA,NA,0,0,NA,NA,0,1,1,1,1,NA
"3132",719,2132,0,0,1,0,1,NA,NA,NA,1,1,1,NA,1,0,0,0,NA
"5824",1973,2108,0,0,1,0,1,NA,NA,NA,1,1,1,1,1,0,0,0,NA
"4600",1221,2242,0,0,1,0,1,NA,NA,1,1,NA,NA,1,1,0,0,0,NA
"4365",1134,2246,0,0,1,0,1,NA,NA,1,1,1,NA,1,1,0,0,0,NA
"5683",1825,2239,0,0,1,0,1,NA,NA,1,1,1,1,NA,1,0,0,0,NA
"2476",548,2166,0,0,1,0,1,NA,NA,1,1,1,1,1,1,0,0,0,NA
"5041",1414,2273,0,0,1,0,1,NA,NA,1,1,1,1,1,1,0,1,0,NA
"3030",695,2040,0,0,1,0,1,NA,1,0,0,NA,NA,0,1,1,1,1,NA
"5532",1689,2197,0,0,1,0,1,NA,1,NA,1,1,NA,1,1,0,0,0,NA
"3129",718,2126,0,0,1,0,1,NA,1,NA,1,1,1,NA,1,0,0,0,NA
"5282",1535,2259,0,0,1,0,1,NA,1,NA,1,1,1,1,1,0,0,0,NA
"3630",881,2174,0,0,1,0,1,NA,1,1,1,NA,1,NA,1,0,0,0,NA
"730",138,2188,0,0,1,0,1,NA,1,1,1,NA,1,NA,1,0,1,0,NA
"4385",1141,2155,0,0,1,0,1,NA,1,1,1,NA,1,1,1,0,0,0,NA
"2200",486,2198,0,0,1,0,1,NA,1,1,1,1,NA,NA,1,0,0,0,NA
"1774",374,2218,0,0,1,0,1,NA,1,1,1,1,NA,1,1,0,0,0,NA
"5679",1820,2279,0,0,1,0,1,NA,1,1,1,1,NA,1,1,0,0,1,NA
"4268",1098,2275,0,0,1,0,1,NA,1,1,1,1,NA,1,1,0,1,0,NA
"5745",1892,2219,0,0,1,0,1,NA,1,1,1,1,1,NA,1,0,0,0,NA
"5409",1606,2184,0,0,1,0,1,NA,1,1,1,1,1,1,1,0,0,0,NA
"3891",964,2093,0,0,1,0,1,NA,1,1,1,1,1,1,1,0,1,1,NA
"2278",503,2031,0,0,1,0,1,1,NA,0,0,NA,NA,0,1,1,1,1,NA
"2648",598,2136,0,0,1,0,1,1,NA,NA,1,NA,NA,1,1,0,0,0,NA
"1924",412,2265,0,0,1,0,1,1,NA,NA,1,1,NA,1,1,0,0,0,NA
"53",8,2201,0,0,1,0,1,1,NA,NA,1,1,1,NA,1,0,0,0,NA
"104",15,2082,0,0,1,0,1,1,NA,NA,1,1,1,1,1,0,0,0,NA
"4502",1186,2154,0,0,1,0,1,1,NA,1,1,NA,NA,NA,1,0,0,0,NA
"595",112,2147,0,0,1,0,1,1,NA,1,1,NA,1,NA,1,0,0,0,NA
"124",18,2163,0,0,1,0,1,1,NA,1,1,NA,1,1,1,0,0,0,NA
"5642",1781,2207,0,0,1,0,1,1,NA,1,1,1,NA,NA,1,0,0,0,NA
"2078",459,2187,0,0,1,0,1,1,NA,1,1,1,NA,1,1,0,0,0,NA
"5623",1772,2176,0,0,1,0,1,1,NA,1,1,1,NA,1,1,0,1,0,NA
"212",37,2111,0,0,1,0,1,1,NA,1,1,1,NA,1,1,1,0,0,NA
"3939",979,2222,0,0,1,0,1,1,NA,1,1,1,1,NA,1,0,0,0,NA
"5651",1789,2263,0,0,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,NA
"1910",409,2055,0,0,1,0,1,1,1,0,0,NA,NA,0,1,1,1,1,NA
"4646",1237,2026,0,0,1,0,1,1,1,NA,0,NA,NA,1,1,1,1,1,NA
"5420",1612,2109,0,0,1,0,1,1,1,NA,1,NA,NA,NA,1,0,0,0,NA
"5003",1394,2206,0,0,1,0,1,1,1,NA,1,NA,NA,1,1,0,1,0,NA
"4334",1122,2270,0,0,1,0,1,1,1,NA,1,NA,1,NA,1,0,0,0,NA
"3950",984,2213,0,0,1,0,1,1,1,NA,1,1,NA,1,1,0,0,0,NA
"3110",713,2153,0,0,1,0,1,1,1,NA,1,1,1,NA,1,0,0,0,NA
"2417",530,2088,0,0,1,0,1,1,1,NA,1,1,1,NA,1,1,0,0,NA
"555",104,2210,0,0,1,0,1,1,1,NA,1,1,1,1,1,0,0,0,NA
"4648",1237,2167,0,0,1,0,1,1,1,NA,1,1,1,1,1,0,0,1,NA
"5680",1821,2193,0,0,1,0,1,1,1,NA,1,1,1,1,1,0,1,0,NA
"3998",1000,2134,0,0,1,0,1,1,1,NA,1,1,1,1,1,1,0,0,NA
"4122",1048,2112,0,0,1,0,1,1,1,1,1,NA,NA,1,1,0,0,0,NA
