"","id1","id2","X_firstname_","X_lastname_","X_gender_","X_birth_date_","X_email_","X_m_nmbr_","X_h_nmbr_","X_addr_1_","X_addr_2_","X_cityname_","X_postcode_","X_county_","X_nis_","X_b_year_","X_b_month_","X_b_day_","is_match"
"11771",1357,9449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46043",1165,3445,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"50495",5332,7296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"51393",826,2701,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"52817",6077,7312,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"53130",9024,9733,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"53212",2631,8802,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"53331",172,8734,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"54292",4705,8312,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"54372",6003,9222,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"54386",1067,9865,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"54421",9236,9780,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"54424",7469,7544,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"54426",1157,7917,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"54430",600,1146,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"54444",3236,4537,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"54445",5505,9391,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"54446",2279,5924,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"54447",504,7408,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"54448",226,8049,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
"83122",3861,4131,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101544",5528,8849,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"102671",989,5233,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"106087",4029,6618,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"106772",2386,4675,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"107740",2021,2534,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"107784",372,4011,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"108298",2259,8269,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"108861",3282,9998,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"108949",5969,7842,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"108994",4761,6897,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"109000",3609,9281,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"109002",2162,9242,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"109003",3459,9993,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"109005",149,8441,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"109024",7965,8876,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"109025",3042,8401,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
