"","Iteration.No","Quality.Rating","Rds.Filename","Total.Records","Duplicates","Non.Duplicates","Record.Pairs","Quality.Perc","Train.Set"
"1",0,0,"0",0,0,0,0,0,"0"
"2",0,0,"0",0,0,0,0,0,"0"
"3",0,0,"0",0,0,0,0,0,"0"
"4",0,0,"0",0,0,0,0,0,"0"
"5",0,0,"0",0,0,0,0,0,"0"
"6",0,0,"0",0,0,0,0,0,"0"
"7",1,1,"ds.00_5000_qual1.rds",5481,291,190,91.22,91.22,"TrainSet_5000.rds"
"8",1,2,"ds.00_5000_qual2.rds",5928,570,358,84.35,84.35,"TrainSet_5000.rds"
"9",1,4,"ds.00_5000_qual3.rds",6716,1084,632,74.45,74.45,"TrainSet_5000.rds"
"10",1,8,"ds.00_5000_qual4.rds",7945,1966,979,62.93,62.93,"TrainSet_5000.rds"
"11",1,16,"ds.00_5000_qual5.rds",9372,3242,1130,53.35,53.35,"TrainSet_5000.rds"
"12",0,0,"0",0,0,0,0,0,"0"
"13",2,1,"ds.00_10000_qual1.rds",10965,585,380,91.2,91.2,"TrainSet_10000.rds"
"14",2,2,"ds.00_10000_qual2.rds",11856,1140,716,84.35,84.35,"TrainSet_10000.rds"
"15",2,4,"ds.00_10000_qual3.rds",13435,2170,1265,74.43,74.43,"TrainSet_10000.rds"
"16",2,8,"ds.00_10000_qual4.rds",15892,3935,1957,62.92,62.92,"TrainSet_10000.rds"
"17",2,16,"ds.00_10000_qual5.rds",18744,6485,2259,53.35,53.35,"TrainSet_10000.rds"
"18",0,0,"0",0,0,0,0,0,"0"
"19",3,1,"ds.00_15000_qual1.rds",16447,876,571,91.2,91.2,"TrainSet_15000.rds"
"20",3,2,"ds.00_15000_qual2.rds",17786,1711,1075,84.34,84.34,"TrainSet_15000.rds"
"21",3,4,"ds.00_15000_qual3.rds",20154,3256,1898,74.43,74.43,"TrainSet_15000.rds"
"22",3,8,"ds.00_15000_qual4.rds",23838,5903,2935,62.92,62.92,"TrainSet_15000.rds"
"23",3,16,"ds.00_15000_qual5.rds",28117,9729,3388,53.35,53.35,"TrainSet_15000.rds"
"24",0,0,"0",0,0,0,0,0,"0"
"25",4,1,"ds.00_20000_qual1.rds",21931,1170,761,91.2,91.2,"TrainSet_20000.rds"
"26",4,2,"ds.00_20000_qual2.rds",23714,2281,1433,84.34,84.34,"TrainSet_20000.rds"
"27",4,4,"ds.00_20000_qual3.rds",26874,4343,2531,74.42,74.42,"TrainSet_20000.rds"
"28",4,8,"ds.00_20000_qual4.rds",31784,7871,3913,62.92,62.92,"TrainSet_20000.rds"
"29",4,16,"ds.00_20000_qual5.rds",37490,12972,4518,53.35,53.35,"TrainSet_20000.rds"
"30",0,0,"0",0,0,0,0,0,"0"
"31",5,1,"ds.00_25000_qual1.rds",27413,1461,952,91.2,91.2,"TrainSet_25000.rds"
"32",5,2,"ds.00_25000_qual2.rds",29644,2852,1792,84.33,84.33,"TrainSet_25000.rds"
"33",5,4,"ds.00_25000_qual3.rds",33593,5429,3164,74.42,74.42,"TrainSet_25000.rds"
"34",5,8,"ds.00_25000_qual4.rds",39731,9839,4892,62.92,62.92,"TrainSet_25000.rds"
"35",5,16,"ds.00_25000_qual5.rds",46862,16216,5646,53.35,53.35,"TrainSet_25000.rds"
"36",0,0,"0",0,0,0,0,0,"0"
"37",6,1,"ds.00_30000_qual1.rds",32898,1755,1143,91.19,91.19,"TrainSet_30000.rds"
"38",6,2,"ds.00_30000_qual2.rds",35573,3423,2150,84.33,84.33,"TrainSet_30000.rds"
"39",6,4,"ds.00_30000_qual3.rds",40311,6515,3796,74.42,74.42,"TrainSet_30000.rds"
"40",6,8,"ds.00_30000_qual4.rds",47677,11807,5870,62.92,62.92,"TrainSet_30000.rds"
"41",6,16,"ds.00_30000_qual5.rds",56235,19459,6776,53.35,53.35,"TrainSet_30000.rds"
"42",0,0,"0",0,0,0,0,0,"0"
