"","No.","Total.Records","Duplicates","Non.Duplicates","Record.Pairs","Quality.Perc","Ident.Pairs","Accuracy","Error"
"1",1,5481,291,190,33984,91.22,291,100,0
"2",2,5928,570,358,39770,84.35,571,100.18,-0.180000000000007
"3",3,6716,1084,632,51111,74.45,1083,99.91,0.0900000000000034
"4",4,7945,1966,979,70805,62.93,1963,99.85,0.150000000000006
"5",5,9372,3242,1130,96326,53.35,3233,99.72,0.280000000000001
"6",1,10965,585,380,135214,91.2,586,100.17,-0.170000000000002
"7",2,11856,1140,716,156936,84.35,1140,100,0
"8",3,13435,2170,1265,199906,74.43,2170,100,0
"9",4,15892,3935,1957,276764,62.92,3935,100,0
"10",5,18744,6485,2259,380134,53.35,6455,99.54,0.459999999999994
"11",1,16447,876,571,304268,91.2,877,100.11,-0.109999999999999
"12",2,17786,1711,1075,352542,84.34,1710,99.94,0.0600000000000023
"13",3,20154,3256,1898,449017,74.43,3255,99.97,0.0300000000000011
"14",4,23838,5903,2935,620153,62.92,5892,99.81,0.189999999999998
"15",5,28117,9729,3388,849062,53.35,9693,99.63,0.370000000000005
"16",1,21931,1170,761,539070,91.2,1172,100.17,-0.170000000000002
"17",2,23714,2281,1433,625244,84.34,2284,100.13,-0.129999999999995
"18",3,26874,4343,2531,797767,74.42,4340,99.93,0.0699999999999932
"19",4,31784,7871,3913,1096454,62.92,7862,99.89,0.109999999999999
"20",5,37490,12972,4518,1498327,53.35,12898,99.43,0.569999999999993
"21",1,27413,1461,952,840414,91.2,1460,99.93,0.0699999999999932
"22",2,29644,2852,1792,977916,84.33,2850,99.93,0.0699999999999932
"23",3,33593,5429,3164,1238136,74.42,5422,99.87,0.129999999999995
"24",4,39731,9839,4892,1707543,62.92,9821,99.82,0.180000000000007
"25",5,46862,16216,5646,2336475,53.35,16130,99.47,0.530000000000001
"26",1,32898,1755,1143,1207322,91.19,1757,100.11,-0.109999999999999
"27",2,35573,3423,2150,1401198,84.33,3432,100.26,-0.260000000000005
"28",3,40311,6515,3796,1780283,74.42,6512,99.95,0.0499999999999972
"29",4,47677,11807,5870,2452221,62.92,11795,99.9,0.0999999999999943
"30",5,56235,19459,6776,3354461,53.35,19373,99.56,0.439999999999998
